0 ms | 1500 us | 0 | 6034.50
9800 ms | 1700 us | + | 4341.31
9900 ms | 1700 us | + | 3108.84
10000 ms | 1750 us | + | 4481.29
10100 ms | 1750 us | + | 3546.85
10200 ms | 1750 us | + | 4142.32
10300 ms | 1750 us | + | 5453.24
10400 ms | 1750 us | + | 7400.72
10500 ms | 1750 us | + | 4970.41
10600 ms | 1750 us | + | 6683.39
10700 ms | 1750 us | + | 6651.47
10800 ms | 1750 us | + | 1103.12
10900 ms | 1750 us | + | 4277.08
11000 ms | 1750 us | + | 2863.41
11100 ms | 1750 us | + | 7814.94
11200 ms | 1750 us | + | 2323.90
11300 ms | 1750 us | + | 3717.76
11400 ms | 1750 us | + | 4837.52
11500 ms | 1750 us | + | 4283.39
11600 ms | 1750 us | + | 7388.60
11700 ms | 1750 us | + | 2578.29
11800 ms | 1750 us | + | 6019.73
11900 ms | 1750 us | + | 2589.26
12000 ms | 1800 us | + | 1405.60
12100 ms | 1800 us | + | 5833.02
12200 ms | 1800 us | + | 1822.14
12300 ms | 1800 us | + | 2611.38
12400 ms | 1800 us | + | 3730.64
12500 ms | 1800 us | + | 2756.71
12600 ms | 1800 us | + | 7211.69
12700 ms | 1800 us | + | 3905.75
12800 ms | 1800 us | + | 3978.94
12900 ms | 1800 us | + | 2949.72
13000 ms | 1800 us | + | 7030.33
13100 ms | 1800 us | + | 4273.79
13200 ms | 1800 us | + | 1105.29
13300 ms | 1800 us | + | 5976.75
13400 ms | 1800 us | + | 1400.98
13500 ms | 1800 us | + | 4243.04
13600 ms | 1800 us | + | 1047.15
13700 ms | 1800 us | + | 15.53
13800 ms | 1800 us | + | 7926.80
13900 ms | 1800 us | + | 6055.70
14000 ms | 1850 us | + | 731.16
14100 ms | 1850 us | + | 134.24
14200 ms | 1850 us | + | 498.20
14300 ms | 1850 us | + | 5012.30
14400 ms | 1850 us | + | 2003.42
14500 ms | 1850 us | + | 4655.51
14600 ms | 1850 us | + | 5143.29
14700 ms | 1850 us | + | 2222.87
14800 ms | 1850 us | + | 4857.02
14900 ms | 1850 us | + | 7458.85
15000 ms | 1850 us | + | 4710.03
15100 ms | 1850 us | + | 6264.15
15200 ms | 1850 us | + | 5436.98
15300 ms | 1850 us | + | 3757.45
15400 ms | 1850 us | + | 3240.16
15500 ms | 1850 us | + | 2037.79
15600 ms | 1850 us | + | 7632.13
15700 ms | 1850 us | + | 4857.33
15800 ms | 1850 us | + | 147.86
15900 ms | 1850 us | + | 2291.98
16000 ms | 1900 us | + | 2808.29
16100 ms | 1900 us | + | 2710.01
16200 ms | 1900 us | + | 3870.23
16300 ms | 1900 us | + | 6125.81
16400 ms | 1900 us | + | 6932.70
16500 ms | 1900 us | + | 1738.94
16600 ms | 1900 us | + | 1096.16
16700 ms | 1900 us | + | 7194.80
16800 ms | 1900 us | + | 1704.56
16900 ms | 1900 us | + | 2481.00
17000 ms | 1900 us | + | 6032.95
17100 ms | 1900 us | + | 5242.05
17200 ms | 1900 us | + | 7094.81
17300 ms | 1900 us | + | 636.32
17400 ms | 1900 us | + | 780.98
17500 ms | 1900 us | + | 2558.72
17600 ms | 1900 us | + | 5236.19
17700 ms | 1900 us | + | 4842.93
17800 ms | 1900 us | + | 6183.92
17900 ms | 1900 us | + | 2748.73
18000 ms | 1850 us | + | 5780.76
18100 ms | 1850 us | + | 3147.90
18200 ms | 1850 us | + | 273.68
18300 ms | 1850 us | + | 4695.11
18400 ms | 1850 us | + | 7856.67
18500 ms | 1850 us | + | 1882.51
18600 ms | 1850 us | + | 6864.56
18700 ms | 1850 us | + | 4622.03
18800 ms | 1850 us | + | 6305.46
18900 ms | 1850 us | + | 2155.84
19000 ms | 1850 us | + | 7233.12
19100 ms | 1850 us | + | 5604.47
19200 ms | 1850 us | + | 7263.84
19300 ms | 1850 us | + | 6726.35
19400 ms | 1850 us | + | 743.89
19500 ms | 1850 us | + | 3321.81
19600 ms | 1850 us | + | 6387.07
19700 ms | 1850 us | + | 4343.68
19800 ms | 1850 us | + | 3657.96
19900 ms | 1850 us | + | 6779.12
20000 ms | 1800 us | + | 4661.66
20100 ms | 1800 us | + | 3706.02
20200 ms | 1800 us | + | 4112.16
20300 ms | 1800 us | + | 4514.71
20400 ms | 1800 us | + | 5802.73
20500 ms | 1800 us | + | 5034.81
20600 ms | 1800 us | + | 3565.61
20700 ms | 1800 us | + | 4146.96
20800 ms | 1800 us | + | 2409.10
20900 ms | 1800 us | + | 7092.50
21000 ms | 1800 us | + | 7167.53
21100 ms | 1800 us | + | 2434.75
21200 ms | 1800 us | + | 4298.11
21300 ms | 1800 us | + | 7963.35
21400 ms | 1800 us | + | 3880.83
21500 ms | 1800 us | + | 3888.25
21600 ms | 1800 us | + | 7688.92
21700 ms | 1800 us | + | 3804.01
21800 ms | 1800 us | + | 2018.11
21900 ms | 1800 us | + | 6334.46
22000 ms | 1750 us | + | 2288.54
22100 ms | 1750 us | + | 7397.54
22200 ms | 1750 us | + | 2549.69
22300 ms | 1750 us | + | 881.74
22400 ms | 1750 us | + | 5038.44
22500 ms | 1750 us | + | 5092.45
22600 ms | 1750 us | + | 333.76
22700 ms | 1750 us | + | 2696.52
22800 ms | 1750 us | + | 2110.64
22900 ms | 1750 us | + | 1683.77
23000 ms | 1750 us | + | 1948.45
23100 ms | 1750 us | + | 2838.96
23200 ms | 1750 us | + | 5142.11
23300 ms | 1750 us | + | 490.32
23400 ms | 1750 us | + | 4844.68
23500 ms | 1750 us | + | 3573.05
23600 ms | 1750 us | + | 3706.14
23700 ms | 1750 us | + | 4992.25
23800 ms | 1750 us | + | 1359.31
23900 ms | 1750 us | + | 6572.31
24000 ms | 1700 us | + | 3116.51
24100 ms | 1700 us | + | 3783.41
24200 ms | 1700 us | + | 6233.34
24300 ms | 1700 us | + | 2792.71
24400 ms | 1700 us | + | 7432.36
24500 ms | 1700 us | + | 5407.25
24600 ms | 1700 us | + | 7940.92
24700 ms | 1700 us | + | 4572.46
24800 ms | 1700 us | + | 2013.66
24900 ms | 1700 us | + | 4774.67
25000 ms | 1700 us | + | 513.56
25100 ms | 1700 us | + | 5508.19
25200 ms | 1700 us | + | 4939.33
25300 ms | 1700 us | + | 5649.79
25400 ms | 1700 us | + | 1450.71
25500 ms | 1700 us | + | 116.93
25600 ms | 1700 us | + | 49.36
25700 ms | 1700 us | + | 5465.80
25800 ms | 1700 us | + | 6829.61
25900 ms | 1700 us | + | 6249.13
26000 ms | 1650 us | + | 6207.58
26100 ms | 1650 us | + | 60.57
26200 ms | 1650 us | + | 464.44
26300 ms | 1650 us | + | 7132.40
26400 ms | 1650 us | + | 1135.15
26500 ms | 1650 us | + | 6651.07
26600 ms | 1650 us | + | 7624.29
26700 ms | 1650 us | + | 4224.60
26800 ms | 1650 us | + | 626.40
26900 ms | 1650 us | + | 4157.11
27000 ms | 1650 us | + | 4713.30
27100 ms | 1650 us | + | 2172.27
27200 ms | 1650 us | + | 5273.32
27300 ms | 1650 us | + | 2668.35
27400 ms | 1650 us | + | 2217.72
27500 ms | 1650 us | + | 1599.66
27600 ms | 1650 us | + | 3427.16
27700 ms | 1650 us | + | 3809.21
27800 ms | 1650 us | + | 4937.40
27900 ms | 1650 us | + | 6215.24
28000 ms | 1600 us | + | 6466.73
28100 ms | 1600 us | + | 734.81
28200 ms | 1600 us | + | 7378.23
28300 ms | 1600 us | + | 5418.36
28400 ms | 1600 us | + | 4441.86
28500 ms | 1600 us | + | 5676.12
28600 ms | 1600 us | + | 4788.88
28700 ms | 1600 us | + | 2252.97
28800 ms | 1600 us | + | 927.68
28900 ms | 1600 us | + | 4055.91
29000 ms | 1600 us | + | 6016.64
29100 ms | 1600 us | + | 6704.11
29200 ms | 1600 us | + | 7450.32
29300 ms | 1600 us | + | 6537.98
29400 ms | 1600 us | + | 3515.25
29500 ms | 1600 us | + | 1558.33
29600 ms | 1600 us | + | 519.72
29700 ms | 1600 us | + | 6027.79
29800 ms | 1600 us | + | 3465.63
29900 ms | 1600 us | + | 6708.39
30000 ms | 1550 us | + | 3413.38
30100 ms | 1550 us | + | 5055.21
30200 ms | 1550 us | + | 6379.07
30300 ms | 1550 us | + | 5271.42
30400 ms | 1550 us | + | 7490.03
30500 ms | 1550 us | + | 7260.32
30600 ms | 1550 us | + | 2423.38
30700 ms | 1550 us | + | 7596.16
30800 ms | 1550 us | + | 218.04
30900 ms | 1550 us | + | 5841.29
31000 ms | 1550 us | + | 3828.31
31100 ms | 1550 us | + | 6260.90
31200 ms | 1550 us | + | 3744.08
31300 ms | 1550 us | + | 5104.23
31400 ms | 1550 us | + | 5752.63
31500 ms | 1550 us | + | 1959.47
31600 ms | 1550 us | + | 2498.13
31700 ms | 1550 us | + | 798.31
31800 ms | 1550 us | + | 112.17
31900 ms | 1550 us | + | 7737.75
32000 ms | 1500 us | 0 | 4326.92
32100 ms | 1500 us | 0 | 731.07
32200 ms | 1500 us | 0 | 5874.69
32300 ms | 1500 us | 0 | 252.81
32400 ms | 1500 us | 0 | 1059.52
32500 ms | 1500 us | 0 | 6299.60
32600 ms | 1500 us | 0 | 6828.70
32700 ms | 1500 us | 0 | 3573.05
32800 ms | 1500 us | 0 | 2981.75
32900 ms | 1500 us | 0 | 7038.38
33000 ms | 1500 us | 0 | 2406.18
33100 ms | 1450 us | - | 737.64
33200 ms | 1450 us | - | 766.62
33300 ms | 1450 us | - | 3961.93
33400 ms | 1450 us | - | 6348.77
33500 ms | 1450 us | - | 6831.27
33600 ms | 1450 us | - | 1705.54
33700 ms | 1450 us | - | 5273.63
33800 ms | 1450 us | - | 7429.15
33900 ms | 1450 us | - | 641.62
34000 ms | 1450 us | - | 4632.58
34100 ms | 1450 us | - | 7160.81
34200 ms | 1450 us | - | 1994.83
34300 ms | 1450 us | - | 7931.11
34400 ms | 1450 us | - | 5953.91
34500 ms | 1450 us | - | 7533.27
34600 ms | 1450 us | - | 6059.68
34700 ms | 1450 us | - | 3067.12
34800 ms | 1450 us | - | 5589.48
34900 ms | 1450 us | - | 7784.54
35000 ms | 1400 us | - | 1009.42
35100 ms | 1400 us | - | 5374.63
35200 ms | 1400 us | - | 5280.18
35300 ms | 1400 us | - | 3084.51
35400 ms | 1400 us | - | 774.99
35500 ms | 1400 us | - | 4615.17
35600 ms | 1400 us | - | 4195.08
35700 ms | 1400 us | - | 7646.73
35800 ms | 1400 us | - | 4773.96
35900 ms | 1400 us | - | 385.54
36000 ms | 1400 us | - | 2690.22
36100 ms | 1400 us | - | 7323.40
36200 ms | 1400 us | - | 4637.60
36300 ms | 1400 us | - | 6310.35
36400 ms | 1400 us | - | 7595.06
36500 ms | 1400 us | - | 5323.72
36600 ms | 1400 us | - | 6944.63
36700 ms | 1400 us | - | 5402.95
36800 ms | 1400 us | - | 2805.45
36900 ms | 1400 us | - | 7091.37
37000 ms | 1350 us | - | 7161.08
37100 ms | 1350 us | - | 3176.55
37200 ms | 1350 us | - | 4607.41
37300 ms | 1350 us | - | 3206.78
37400 ms | 1350 us | - | 3646.82
37500 ms | 1350 us | - | 3962.12
37600 ms | 1350 us | - | 179.14
37700 ms | 1350 us | - | 4046.72
37800 ms | 1350 us | - | 522.41
37900 ms | 1350 us | - | 4882.95
38000 ms | 1350 us | - | 4514.23
38100 ms | 1350 us | - | 629.95
38200 ms | 1350 us | - | 5008.94
38300 ms | 1350 us | - | 6821.45
38400 ms | 1350 us | - | 1146.70
38500 ms | 1350 us | - | 562.19
38600 ms | 1350 us | - | 7281.51
38700 ms | 1350 us | - | 3127.48
38800 ms | 1350 us | - | 4086.63
38900 ms | 1350 us | - | 7108.19
39000 ms | 1300 us | - | 7966.53
39100 ms | 1300 us | - | 2116.62
39200 ms | 1300 us | - | 6113.86
39300 ms | 1300 us | - | 7034.98
39400 ms | 1300 us | - | 7300.09
39500 ms | 1300 us | - | 6891.31
39600 ms | 1300 us | - | 33.61
39700 ms | 1300 us | - | 1144.79
39800 ms | 1300 us | - | 380.41
39900 ms | 1300 us | - | 5377.08
40000 ms | 1300 us | - | 5554.80
40100 ms | 1300 us | - | 7123.55
40200 ms | 1300 us | - | 4786.17
40300 ms | 1300 us | - | 6776.79
40400 ms | 1300 us | - | 5850.04
40500 ms | 1300 us | - | 7239.90
40600 ms | 1300 us | - | 4901.04
40700 ms | 1300 us | - | 1735.34
40800 ms | 1300 us | - | 7723.56
40900 ms | 1300 us | - | 7657.24
41000 ms | 1250 us | - | 4032.24
41100 ms | 1250 us | - | 2934.40
41200 ms | 1250 us | - | 2573.93
41300 ms | 1250 us | - | 3141.68
41400 ms | 1250 us | - | 4369.95
41500 ms | 1250 us | - | 1648.59
41600 ms | 1250 us | - | 4142.88
41700 ms | 1250 us | - | 4117.45
41800 ms | 1250 us | - | 6568.78
41900 ms | 1250 us | - | 1297.22
42000 ms | 1250 us | - | 7276.26
42100 ms | 1250 us | - | 6786.55
42200 ms | 1250 us | - | 6460.78
42300 ms | 1250 us | - | 5086.04
42400 ms | 1250 us | - | 988.83
42500 ms | 1250 us | - | 7577.81
42600 ms | 1250 us | - | 7893.75
42700 ms | 1250 us | - | 6269.48
42800 ms | 1250 us | - | 7421.05
42900 ms | 1250 us | - | 72.36
43000 ms | 1200 us | - | 4317.69
43100 ms | 1200 us | - | 294.30
43200 ms | 1200 us | - | 40.44
43300 ms | 1200 us | - | 1576.64
43400 ms | 1200 us | - | 6103.64
43500 ms | 1200 us | - | 1192.57
43600 ms | 1200 us | - | 7973.99
43700 ms | 1200 us | - | 1092.89
43800 ms | 1200 us | - | 1294.75
43900 ms | 1200 us | - | 5334.83
44000 ms | 1200 us | - | 7480.35
44100 ms | 1200 us | - | 280.69
44200 ms | 1200 us | - | 2988.77
44300 ms | 1200 us | - | 7054.52
44400 ms | 1200 us | - | 6270.04
44500 ms | 1200 us | - | 643.84
44600 ms | 1200 us | - | 6913.29
44700 ms | 1200 us | - | 4590.87
44800 ms | 1200 us | - | 3559.80
44900 ms | 1200 us | - | 4439.41
45000 ms | 1150 us | - | 3677.93
45100 ms | 1150 us | - | 6823.27
45200 ms | 1150 us | - | 676.35
45300 ms | 1150 us | - | 4797.97
45400 ms | 1150 us | - | 2898.77
45500 ms | 1150 us | - | 6482.82
45600 ms | 1150 us | - | 989.29
45700 ms | 1150 us | - | 1677.04
45800 ms | 1150 us | - | 2873.08
45900 ms | 1150 us | - | 7702.44
46000 ms | 1150 us | - | 5926.93
46100 ms | 1150 us | - | 3350.11
46200 ms | 1150 us | - | 3728.21
46300 ms | 1150 us | - | 4487.99
46400 ms | 1150 us | - | 4846.51
46500 ms | 1150 us | - | 5619.09
46600 ms | 1150 us | - | 3531.65
46700 ms | 1150 us | - | 2034.41
46800 ms | 1150 us | - | 5479.27
46900 ms | 1150 us | - | 2200.63
47000 ms | 1100 us | - | 165.36
47100 ms | 1100 us | - | 1703.27
47200 ms | 1100 us | - | 7687.82
47300 ms | 1100 us | - | 380.03
47400 ms | 1100 us | - | 6302.47
47500 ms | 1100 us | - | 103.75
47600 ms | 1100 us | - | 3568.82
47700 ms | 1100 us | - | 4986.31
47800 ms | 1100 us | - | 7628.72
47900 ms | 1100 us | - | 4815.37
48000 ms | 1100 us | - | 7240.95
48100 ms | 1100 us | - | 2543.80
48200 ms | 1100 us | - | 5920.65
48300 ms | 1100 us | - | 667.20
48400 ms | 1100 us | - | 750.92
48500 ms | 1100 us | - | 6185.60
48600 ms | 1100 us | - | 7121.40
48700 ms | 1100 us | - | 897.00
48800 ms | 1100 us | - | 3580.86
48900 ms | 1100 us | - | 5036.68
49000 ms | 1100 us | - | 379.62
49100 ms | 1100 us | - | 4196.28
49200 ms | 1100 us | - | 4918.61
49300 ms | 1100 us | - | 7834.87
49400 ms | 1100 us | - | 1266.40
49500 ms | 1100 us | - | 4430.02
49600 ms | 1100 us | - | 5210.12
49700 ms | 1100 us | - | 4622.23
49800 ms | 1100 us | - | 6031.98
49900 ms | 1100 us | - | 2307.90
50000 ms | 1100 us | - | 1479.80
